normalized_name,file_name,commons_page,direct_url,license,author,attribution,storage_path
bts,"BTS on the red carpet of Korean Popular Culture & Arts Awards on October 24, 2018 (3).png","https://commons.wikimedia.org/wiki/File:BTS_on_the_red_carpet_of_Korean_Popular_Culture_%26_Arts_Awards_on_October_24,_2018_(3).png","https://upload.wikimedia.org/wikipedia/commons/5/50/BTS_on_the_red_carpet_of_Korean_Popular_Culture_%26_Arts_Awards_on_October_24%2C_2018_%283%29.png","CC BY 3.0","NINE STARS","NINE STARS — CC BY 3.0 — vía Wikimedia Commons",kpop-entities/bts/cover.png
blackpink,"20240809 Blackpink Pink Carpet 24 (2).png","https://commons.wikimedia.org/wiki/File:20240809_Blackpink_Pink_Carpet_24_(2).png","https://upload.wikimedia.org/wikipedia/commons/5/5e/20240809_Blackpink_Pink_Carpet_24_%282%29.png","CC BY 3.0","K-POPIT","K-POPIT 케이팝잇 — CC BY 3.0 — vía Wikimedia Commons",kpop-entities/blackpink/cover.png
stray kids,"Stray Kids in 2026.png","https://commons.wikimedia.org/wiki/File:Stray_Kids_in_2026.png","https://upload.wikimedia.org/wikipedia/commons/c/c0/Stray_Kids_in_2026.png","CC BY 4.0","TV10","TV10 — CC BY 4.0 — vía Wikimedia Commons",kpop-entities/stray-kids/cover.png
txt,"Tomorrow X Together at a Dior event, April 18, 2025.png","https://commons.wikimedia.org/wiki/File:Tomorrow_X_Together_at_a_Dior_event,_April_18,_2025.png","https://upload.wikimedia.org/wikipedia/commons/a/a8/Tomorrow_X_Together_at_a_Dior_event%2C_April_18%2C_2025.png","CC BY 3.0","K-POPIT","K-POPIT 케이팝잇 — CC BY 3.0 — vía Wikimedia Commons",kpop-entities/txt/cover.png
enhypen,"Enhypen at Golden disc awards.png","https://commons.wikimedia.org/wiki/File:Enhypen_at_Golden_disc_awards.png","https://upload.wikimedia.org/wikipedia/commons/c/c3/Enhypen_at_Golden_disc_awards.png","CC BY 3.0","TV10","TV10 — CC BY 3.0 — vía Wikimedia Commons",kpop-entities/enhypen/cover.png
aespa,"Aespa 2024 MMA 1.jpg","https://commons.wikimedia.org/wiki/File:Aespa_2024_MMA_1.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/Aespa_2024_MMA_1.jpg","CC BY 3.0","10Asia","10Asia — CC BY 3.0 — vía Wikimedia Commons",kpop-entities/aespa/cover.jpg
twice,"20260122 Twice @ This is For World Tour in Los Angeles 2.jpg","https://commons.wikimedia.org/wiki/File:20260122_Twice_%40_This_is_For_World_Tour_in_Los_Angeles_2.jpg","https://upload.wikimedia.org/wikipedia/commons/8/81/20260122_Twice_%40_This_is_For_World_Tour_in_Los_Angeles_2.jpg","CC BY-SA 4.0","Shelby Lee","Shelby Lee — CC BY-SA 4.0 — vía Wikimedia Commons",kpop-entities/twice/cover.jpg
seventeen,"Seventeen in Seoul 240428.png","https://commons.wikimedia.org/wiki/File:Seventeen_in_Seoul_240428.png","https://upload.wikimedia.org/wikipedia/commons/4/46/Seventeen_in_Seoul_240428.png","CC BY 3.0","Seventeen","Seventeen — CC BY 3.0 — vía Wikimedia Commons",kpop-entities/seventeen/cover.png
ateez,"ATEEZ in August 2024.jpg","https://commons.wikimedia.org/wiki/File:ATEEZ_in_August_2024.jpg","https://upload.wikimedia.org/wikipedia/commons/5/55/ATEEZ_in_August_2024.jpg","CC BY-SA 2.0","pinkllamanade","pinkllamanade — CC BY-SA 2.0 — vía Wikimedia Commons",kpop-entities/ateez/cover.jpg
ive,"Ive at the 2024 Melon Music Awards.png","https://commons.wikimedia.org/wiki/File:Ive_at_the_2024_Melon_Music_Awards.png","https://upload.wikimedia.org/wikipedia/commons/5/55/Ive_at_the_2024_Melon_Music_Awards.png","CC BY 3.0","K-POPIT","K-POPIT 케이팝잇 — CC BY 3.0 — vía Wikimedia Commons",kpop-entities/ive/cover.png
